Title,Authors,Year,Journal,Citations,URL
Machine learning and the physical sciences,"['G Carleo', 'I Cirac', 'K Cranmer', 'L Daudet', 'M Schuld']",2019,N/A,2401,https://link.aps.org/accepted/10.1103/RevModPhys.91.045002
Readings in machine learning,"['JW Shavlik', 'TG Dietterich']",1990,N/A,575,N/A
Machine learning: a primer,"['D Bzdok', 'M Krzywinski', 'N Altman']",2017,N/A,202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905345/
Practical machine learning,['S Gollapudi'],2016,N/A,218,N/A
Machine learning overview,['TO Ayodele'],2010,N/A,154,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=72bfa0a326e4385ac46916e840e9fdc73a98b9fb
Optimization for machine learning,"['S Sra', 'S Nowozin', 'SJ Wright']",2011,N/A,1024,https://optml.mit.edu/teach/6881/lect7.pdf
Machine learning in action,['P Harrington'],2012,N/A,1431,https://thuvienso.dau.edu.vn:88/bitstream/DHKTDN/6832/1/6185.Machine%20Learning%20in%20Action.pdf
A brief review of machine learning and its application,"['H Wang', 'C Ma', 'L Zhou']",2009,N/A,276,N/A
Machine learning that matters,['K Wagstaff'],2012,N/A,434,https://arxiv.org/pdf/1206.4656
The hundred-page machine learning book,['A Burkov'],2019,N/A,1142,https://order-papers.com/sites/default/files/tmp/webform/order_download/pdf-the-hundred-page-machine-learning-book-andriy-burkov-pdf-download-free-book-d835289.pdf
Types of machine learning algorithms,['TO Ayodele'],2010,N/A,1172,https://pdfs.semanticscholar.org/c4ae/802491724aee021f31f02327b9671cead3dc.pdf
Machine learning: a guide to current research,"['TM Mitchell', 'JG Carbonell', 'RS Michalski']",1986,N/A,461,N/A
Amnesiac machine learning,"['L Graves', 'V Nagisetty', 'V Ganesh']",2021,N/A,230,https://ojs.aaai.org/index.php/AAAI/article/download/17371/17178
Foundations of machine learning,"['M Mohri', 'A Rostamizadeh', 'A Talwalkar']",2018,N/A,6911,https://www.academia.edu/download/86186744/lecture_3.pdf
Elements of machine learning,['P Langley'],1996,N/A,977,N/A
Mlaas: Machine learning as a service,"['M Ribeiro', 'K Grolinger']",2015,N/A,498,https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1123&context=electricalpub
Learnware: on the future of machine learning.,['ZH Zhou'],2016,N/A,185,https://www.lamda.nju.edu.cn/publication/fcs16learnware.pdf
Understanding machine learning: From theory to algorithms,"['S Shalev-Shwartz', 'S Ben-David']",2014,N/A,8407,https://mlodyobywatel.ceo.org.pl/sites/mlodyobywatel.ceo.org.pl/files/webform/pdf-understanding-machine-learning-from-theory-to-algorithms-shai-shalev-shwartz-shai-ben-david-pdf-download-free-book-171ad88.pdf
Machine learning: the basics,['A Jung'],2022,N/A,173,N/A
The impact of machine learning on economics,['S Athey'],2018,N/A,1044,https://www.nber.org/system/files/chapters/c14009/c14009.pdf
The discipline of machine learning,['TM Mitchell'],2006,N/A,1031,https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf
Statistics for machine learning,['P Dangeti'],2017,N/A,542,N/A
Machine learning and its applications to biology,"['AL Tarca', 'VJ Carey', 'X Chen', 'R Romero']",2007,N/A,820,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.0030116&type=printable
A guide to machine learning for biologists,"['JG Greener', 'SM Kandathil', 'L Moffat']",2022,N/A,1206,https://discovery.ucl.ac.uk/id/eprint/10134478/1/NRMCB-review-accepted-forRPS.pdf
Machine learning from theory to algorithms: an overview,"['J Alzubi', 'A Nayyar', 'A Kumar']",2018,N/A,953,https://iopscience.iop.org/article/10.1088/1742-6596/1142/1/012012/pdf
Machine learning and deep learning,"['C Janiesch', 'P Zschech', 'K Heinrich']",2021,N/A,2440,https://link.springer.com/content/pdf/10.1007/s12525-021-00475-2.pdf
Machine learning: algorithms and applications,"['M Mohammed', 'MB Khan', 'EBM Bashier']",2016,N/A,831,N/A
Machine learning in agriculture: A review,"['KG Liakos', 'P Busato', 'D Moshou', 'S Pearson', 'D Bochtis']",2018,N/A,2768,https://www.mdpi.com/1424-8220/18/8/2674/pdf
MATLAB machine learning,"['M Paluszek', 'S Thomas']",2016,N/A,153,N/A
Introduction to machine learning,['E Alpaydin'],2020,N/A,15064,https://www.bme.ufl.edu/wp-content/uploads/2018/07/Fall-2015-Syllabus-BME6938-Machine-Learning.pdf
Machine learning in materials science,"['J Wei', 'X Chu', 'XY Sun', 'K Xu', 'HX Deng', 'J Chen', 'Z Wei']",2019,N/A,738,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/inf2.12028
An overview of the supervised machine learning methods,['V Nasteski'],2017,N/A,795,https://www.researchgate.net/profile/Vladimir-Nasteski/publication/328146111_An_overview_of_the_supervised_machine_learning_methods/links/5c1025194585157ac1bba147/An-overview-of-the-supervised-machine-learning-methods.pdf
A review of machine learning and deep learning applications,"['PP Shinde', 'S Shah']",2018,N/A,969,N/A
The ALAMO approach to machine learning,"['ZT Wilson', 'NV Sahinidis']",2017,N/A,213,https://www.sciencedirect.com/science/article/am/pii/S0098135417300662
Dlib-ml: A machine learning toolkit,['DE King'],2009,N/A,4391,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf
Machine-learning research,['TG Dietterich'],1997,N/A,2176,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/download/1324/1225
A quick review of machine learning algorithms,['S Ray'],2019,N/A,1267,N/A
Model-based machine learning,['CM Bishop'],2013,N/A,309,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0222
ModelDB: a system for machine learning model management,"['M Vartak', 'H Subramanyam', 'WE Lee']",2016,N/A,285,https://dm-gatech.github.io/CS8803-Fall2018-DML-Papers/hilda-modeldb.pdf
Open-environment machine learning,['ZH Zhou'],2022,N/A,141,https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwac123/45957092/nwac123.pdf
Machine learning: a probabilistic perspective,['KP Murphy'],2012,N/A,17043,N/A
Does machine learning really work?,['TM Mitchell'],1997,N/A,473,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/download/1303/1204/
A course in machine learning,['H Daumé'],2017,N/A,190,https://www.academia.edu/download/37276995/Course_in_Machine_Learning.pdf
Introduction to machine learning,"['Y Baştanlar', 'M Özuysal']",2014,N/A,548,https://openaccess.iyte.edu.tr/bitstream/11147/5770/1/5770.pdf
Machine learning foundations,['T Jo'],2021,N/A,192,N/A
Machine learning for fluid mechanics,"['SL Brunton', 'BR Noack']",2020,N/A,2589,https://www.annualreviews.org/content/journals/10.1146/annurev-fluid-010719-060214?crawler=true&mimetype=application/pdf
Probabilistic machine learning: an introduction,['KP Murphy'],2022,N/A,1110,N/A
Statistics versus machine learning,['H Ij'],2018,N/A,1426,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6082636/
Machine learning for molecular and materials science,"['KT Butler', 'DW Davies', 'H Cartwright', 'O Isayev', 'A Walsh']",2018,N/A,3604,https://researchportal.bath.ac.uk/files/186476034/Walsh_MachineLearning_FinalSubmission.pdf
The SHOGUN machine learning toolbox,"['S Sonnenburg', 'G Rätsch', 'S Henschel', 'C Widmer']",2010,N/A,414,https://www.jmlr.org/papers/volume11/sonnenburg10a/sonnenburg10a.pdf
Pattern recognition and machine learning,"['CM Bishop', 'NM Nasrabadi']",2006,N/A,75686,http://crowley-coutaz.fr/jlc/Courses/2020/PRML/ENSI3.PRML.S6.Encoders.pdf
Torch7: A matlab-like environment for machine learning,"['R Collobert', 'K Kavukcuoglu']",2011,N/A,2024,https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf
A survey on the explainability of supervised machine learning,"['N Burkart', 'MF Huber']",2021,N/A,1055,https://www.jair.org/index.php/jair/article/download/12228/26647
Genetic algorithms and machine learning,['JJ Grefenstette'],1993,N/A,5027,https://dl.acm.org/doi/pdf/10.1145/168304.168305
Introduction to machine learning,['NJ Nilson'],1998,N/A,536,https://bafflerbach.github.io/test_software_carpentry/files/Module%201%20Lecture%20Notes.pdf
Uncovering social spammers: social honeypots+ machine learning,"['K Lee', 'J Caverlee', 'S Webb']",2010,N/A,989,https://www.researchgate.net/profile/Steve-Webb/publication/221299816_Uncovering_social_spammers_social_honeypots_machine_learning/links/0c96052a5c68313425000000/Uncovering-social-spammers-social-honeypots-machine-learning.pdf
Mathematics for machine learning,"['MP Deisenroth', 'AA Faisal', 'CS Ong']",2020,N/A,876,https://www.academia.edu/download/64709852/Mathematics_for_machine_learning.pdf
Supervised machine learning: a brief primer,"['T Jiang', 'JL Gradus', 'AJ Rosellini']",2020,N/A,639,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431677/
“Memo” functions and machine learning,['D Michie'],1968,N/A,892,https://stacks.stanford.edu/file/druid:dn905ks9646/dn905ks9646.pdf
Early history of machine learning,['AL Fradkov'],2020,N/A,281,https://www.researchgate.net/profile/Alexander-Fradkov/publication/350910353_Early_History_of_Machine_Learning/links/6398cb74484e65005b092fd4/Early-History-of-Machine-Learning.pdf
Machine learning engineering,['A Burkov'],2020,N/A,127,https://www.saint-gobain.co.in/sites/saint-gobain.co.in/files/webform/apply_for_indec/_sid_/machine-learning-engineering-andriy-burkov-pdf-download-free-book-c6498c8.pdf
New advances in machine learning,['Y Zhang'],2010,N/A,142,N/A
Real-world machine learning,"['H Brink', 'J Richards', 'M Fetherolf']",2016,N/A,287,N/A
An introduction to machine learning,['M Kubat'],2017,N/A,1095,http://repository.cinec.edu/bitstream/cinec20/1093/1/2017_Book_AnIntroductionToMachineLearnin.pdf
Machine learning: A theoretical approach,['BK Natarajan'],2014,N/A,522,N/A
Bioinformatics: the machine learning approach,"['P Baldi', 'S Brunak']",2001,N/A,2068,http://www.ir.juit.ac.in:8080/jspui/bitstream/123456789/5345/1/Bioinformatics%20The%20Machine%20Learning%20Approach.pdf
A review of supervised machine learning algorithms,"['A Singh', 'N Thakur', 'A Sharma']",2016,N/A,1134,N/A
A survey of optimization methods from a machine learning perspective,"['S Sun', 'Z Cao', 'H Zhu', 'J Zhao']",2019,N/A,861,https://arxiv.org/pdf/1906.06821
A review of studies on machine learning techniques,"['Y Singh', 'PK Bhatia', 'O Sangwan']",2007,N/A,184,https://books.google.com/books?hl=en&lr=&id=7xRB3hRaR2sC&oi=fnd&pg=PA70&dq=Machine+Learning&ots=J2o1yiwYcF&sig=e6wKPYPXvu_gsI1n04gHqAwxrBk
Advances in financial machine learning,['ML De Prado'],2018,N/A,745,N/A
Diversity in machine learning,"['Z Gong', 'P Zhong', 'W Hu']",2019,N/A,264,https://ieeexplore.ieee.org/iel7/6287639/8600701/08717641.pdf
Challenges in deploying machine learning: a survey of case studies,"['A Paleyes', 'RG Urma', 'ND Lawrence']",2022,N/A,497,https://dl.acm.org/doi/pdf/10.1145/3533378
Machine learning: an applied econometric approach,"['S Mullainathan', 'J Spiess']",2017,N/A,2403,https://pubs.aeaweb.org/doi/pdf/10.1257/jep.31.2.87
Selection of relevant features in machine learning,['P Langley'],1994,N/A,1102,https://cdn.aaai.org/Symposia/Fall/1994/FS-94-02/FS94-02-034.pdf
Machine Learning Algorithms: Popular algorithms for data science and machine learning,['G Bonaccorso'],2018,N/A,1119,N/A
On challenges in machine learning model management,"['S Schelter', 'F Biessmann', 'T Januschowski', 'D Salinas']",2015,N/A,222,https://www.amazon.science/publications/on-challenges-in-machine-learning-model-management
Machine learning: an algorithmic perspective,['S Marsland'],2011,N/A,3023,http://2.180.2.83:801/opac/temp/11623.pdf
"Machine learning operations (mlops): Overview, definition, and architecture","['D Kreuzberger', 'N Kühl', 'S Hirschl']",2023,N/A,443,https://ieeexplore.ieee.org/iel7/6287639/6514899/10081336.pdf
A review of machine learning,"['DM Dutton', 'GV Conroy']",1997,N/A,128,N/A
An introduction to machine learning,"['S Badillo', 'B Banfai', 'F Birzele', 'II Davydov']",2020,N/A,481,https://ascpt.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cpt.1796
Practical machine learning tools and techniques,"['IH Witten', 'E Frank', 'MA Hall', 'CJ Pal', 'M Data']",2005,N/A,1003,https://sisis.rz.htw-berlin.de/inh2012/12401301.pdf
On-line algorithms in machine learning,['A Blum'],2005,N/A,355,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6c9a24a4eef8647ad82f6d11d4564249ed48ef78
The role of machine learning in the understanding and design of materials,"['SM Moosavi', 'KM Jablonka', 'B Smit']",2020,N/A,295,https://pubs.acs.org/doi/pdf/10.1021/jacs.0c09105
Agricultural databases evaluation with machine learning procedure,"['M Amini', 'A Rahmani']",2023,N/A,154,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4331902
The boosting approach to machine learning: An overview,['RE Schapire'],2003,N/A,3111,https://people.orie.cornell.edu/~davidr/or474/msri.pdf
A review of machine learning methods,"['M Kubat', 'I Bratko', 'RS Michalski']",1998,N/A,125,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e2f9cf5e6c13fe4244b0359c852747c1393c30ca
Ensemble machine learning,"['C Zhang', 'Y Ma']",2012,N/A,1740,N/A
